species,origin,plot,pos,id,birth_year,observation_year,distance_A,distance_B,survival,size_tillers,flowering_tillers,spikelets_A,spikelets_B,spikelets_C,notes
FESU,O,121,3,121_orig22-3,2022,2025,1.999,1.337,0,,,,,,
FESU,O,121,4,121_orig22-4,2022,2025,1.975,0.884,0,,,,,,
FESU,O,121,10,121_orig22-10,2022,2025,2.384,1.813,1,4,1,19,,,
FESU,R,121,160,121_160,2024,2025,1.915,2.325,0,,,,,,
FESU,,121,,161,2024,2025,1.982,2.366,0,,,,,,
FESU,,121,,162,2024,2025,2.323,1.922,0,,,,,,
FESU,R,121,,163,2025,2025,1.972,1.079,1,1,0,,,,
FESU,R,121,,164,2025,2025,1.798,0.555,1,1,0,,,,"Questionable ID, but not removing tag"
FESU,O,122,3,122_orig22-3,2022,2025,0.816,1.865,1,4,1,25,,,
FESU,O,122,6,122_orig22-6,2022,2025,2.82,1.664,1,1,0,,,,
FESU,R,122,276,122_276,2024,2025,1.514,2.035,1,1,0,,,,
FESU,,122,,277,2024,2025,1.574,2.091,0,,,,,,
FESU,,122,,278,2024,2025,1.618,2.164,0,,,,,,
FESU,,122,,279,2024,2025,1.719,2.244,0,,,,,,
FESU,,122,,280,2024,2025,2.772,2.293,,,,,,,TNF
FESU,,122,,281,2024,2025,2.813,2.305,1,1,0,,,,
FESU,,122,,282,2024,2025,2.825,2.335,0,,,,,,
FESU,R,122,,283,2025,2025,1.161,1.962,1,1,0,,,,
FESU,R,122,,284,2025,2025,1.875,0.806,1,1,0,,,,
FESU,R,122,,285,2025,2025,1.093,1.423,1,1,0,,,,
FESU,R,122,,286,2025,2025,1.398,1.121,1,1,0,,,,
FESU,R,122,,287,2025,2025,0.868,1.167,1,1,0,,,,
FESU,R,122,,288,2025,2025,0.875,1.618,1,1,0,,,,
FESU,R,122,,289,2025,2025,1.062,1.628,1,1,0,,,,
FESU,R,122,,290,2025,2025,1.064,1.587,1,1,0,,,,
FESU,R,122,,291,2025,2025,0.938,2.024,1,1,0,,,,
FESU,R,122,,292,2025,2025,0.974,1.625,1,1,0,,,,
FESU,R,122,,293,2025,2025,0.537,1.692,1,1,0,,,,
FESU,R,122,,294,2025,2025,0.959,1.641,1,1,0,,,,
FESU,R,122,,295,2025,2025,0.452,2.038,1,1,0,,,,
FESU,R,122,,296,2025,2025,0.984,1.711,1,1,0,,,,
FESU,R,122,,297,2025,2025,0.984,1.711,1,1,0,,,,
FESU,R,122,,298,2025,2025,1.108,1.525,1,1,0,,,,
FESU,R,122,,299,2025,2025,0.639,2.155,1,1,0,,,,
FESU,R,122,,300,2025,2025,0.743,2.02,1,1,0,,,,
FESU,R,122,,301,2025,2025,0.721,1.898,1,1,0,,,,
FESU,R,122,,302,2025,2025,0.721,1.898,1,1,0,,,,
FESU,R,122,,303,2025,2025,0.721,1.898,1,1,0,,,,
FESU,R,122,,304,2025,2025,0.721,1.898,1,1,0,,,,
FESU,R,122,,305,2025,2025,0.796,2.041,1,1,0,,,,
FESU,R,122,,306,2025,2025,0.796,2.041,1,1,0,,,,
FESU,R,122,,307,2025,2025,0.788,1.969,1,1,0,,,,
FESU,R,122,,308,2025,2025,0.788,1.969,1,1,0,,,,
FESU,R,122,,309,2025,2025,0.825,2.009,1,1,0,,,,
FESU,R,122,,310,2025,2025,0.825,1.97,1,1,0,,,,
FESU,R,122,,311,2025,2025,0.825,1.97,1,1,0,,,,
FESU,R,122,,312,2025,2025,0.788,2.019,1,1,0,,,,
FESU,R,122,,313,2025,2025,0.788,2.019,1,1,0,,,,
FESU,R,122,,314,2025,2025,0.723,2.235,1,1,0,,,,
FESU,R,122,,315,2025,2025,0.723,2.235,1,1,0,,,,
FESU,R,122,,316,2025,2025,0.723,2.235,1,1,0,,,,
FESU,R,122,,317,2025,2025,0.653,2.296,1,1,0,,,,
FESU,R,122,,318,2025,2025,0.707,2.388,1,1,0,,,,
FESU,R,122,,319,2025,2025,0.659,2.318,1,1,0,,,,
FESU,R,122,,320,2025,2025,0.732,2.288,1,1,0,,,,
FESU,R,122,,321,2025,2025,0.732,2.288,1,1,0,,,,
FESU,R,122,,322,2025,2025,0.732,2.288,1,1,0,,,,
FESU,R,122,,323,2025,2025,0.732,2.288,1,1,0,,,,
FESU,R,122,,324,2025,2025,0.732,2.288,1,1,0,,,,
FESU,R,122,,325,2025,2025,0.732,2.288,1,1,0,,,,
FESU,R,122,,326,2025,2025,0.732,2.288,1,1,0,,,,
FESU,R,122,,327,2025,2025,0.664,2.324,1,1,0,,,,
FESU,R,122,,328,2025,2025,0.664,2.324,1,1,0,,,,
FESU,R,122,,329,2025,2025,0.493,2.478,1,1,0,,,,
FESU,O,123,1,123_orig22-1,2022,2025,1.432,1.786,0,,,,,,
FESU,O,123,2,123_orig22-2,2022,2025,1.934,1.584,1,1,0,,,,
FESU,O,123,3,123_orig22-3,2022,2025,1.87,1.475,1,1,0,,,,
FESU,O,123,4,123_orig22-4,2022,2025,1.446,1.834,0,,,,,,
FESU,O,123,7,123_orig22-7,2022,2025,1.812,0.753,1,5,1,20,,,
FESU,O,123,9,123_orig22-9,2022,2025,1.415,1.129,1,2,1,20,,,
FESU,O,123,10,123_orig22-10,2022,2025,0.802,1.812,0,,,,,,
FESU,O,123,11,123_orig22-11,2022,2025,0.873,1.779,1,15,5,15,16,18,
FESU,,123,51,123_51,2024,2025,0.314,1.608,0,,,,,,
FESU,,123,,52,2024,2025,0.32,1.612,1,1,0,,,,
FESU,,123,,53,2024,2025,0.282,1.623,0,,,,,,
FESU,,123,,54,2024,2025,0.354,1.624,0,,,,,,
FESU,,123,,55,2024,2025,0.39,1.63,1,1,0,,,,
FESU,,123,,56,2024,2025,0.387,1.608,0,,,,,,
FESU,,123,,57,2024,2025,0.466,1.63,0,,,,,,
FESU,,123,,58,2024,2025,0.468,1.121,0,,,,,,
FESU,,123,,59,2024,2025,0.464,1.128,0,,,,,,
FESU,,123,,60,2024,2025,0.674,1.587,1,2,0,,,,
FESU,,123,,61,2024,2025,1.579,1.78,0,,,,,,
FESU,,123,,62,2024,2025,1.397,1.824,0,,,,,,
FESU,,123,,63,2024,2025,1.452,1.897,0,,,,,,
FESU,,123,,64,2024,2025,1.491,1.911,0,,,,,,
FESU,,123,,65,2024,2025,1.474,1.778,0,,,,,,
FESU,,123,,66,2024,2025,1.447,1.765,0,,,,,,
FESU,,123,,67,2024,2025,1.512,1.793,0,,,,,,
FESU,,123,,68,2024,2025,1.518,1.797,0,,,,,,
FESU,,123,,69,2024,2025,1.521,1.802,0,,,,,,
FESU,,123,,70,2024,2025,1.599,2.308,0,,,,,,
FESU,,123,,71,2024,2025,1.697,2.384,0,,,,,,
FESU,,123,,72,2024,2025,1.817,2.514,0,,,,,,
FESU,,123,,73,2024,2025,2.406,2.083,0,,,,,,
FESU,,123,,74,2024,2025,2.298,1.792,0,,,,,,
FESU,,123,,75,2024,2025,2.098,2.339,0,,,,,,
FESU,,123,,76,2024,2025,2.094,2.334,0,,,,,,
FESU,,123,,77,2024,2025,2.102,2.331,0,,,,,,
FESU,,123,,78,2024,2025,2.108,2.327,0,,,,,,
FESU,R,123,,79,2024,2025,2.145,2.344,0,,,,,,
FESU,,123,,80,2024,2025,1.967,1.461,0,,,,,,
FESU,,123,,81,2024,2025,1.979,1.473,0,,,,,,
FESU,,123,,82,2024,2025,1.972,1.458,0,,,,,,
FESU,,123,,83,2024,2025,2.07,1.47,0,,,,,,
FESU,,123,,84,2024,2025,2.083,1.474,0,,,,,,
FESU,,123,,85,2024,2025,2.086,1.471,0,,,,,,
FESU,,123,,86,2024,2025,2.097,1.463,0,,,,,,
FESU,,123,,87,2024,2025,2.104,1.472,0,,,,,,
FESU,,123,,88,2024,2025,2.133,1.494,0,,,,,,
FESU,,123,,89,2024,2025,2.168,1.477,0,,,,,,
FESU,,123,,90,2024,2025,2.192,1.49,0,,,,,,
FESU,R,123,,91,2025,2025,2.509,1.281,1,1,0,,,,
FESU,R,123,,92,2025,2025,2.347,1.331,1,1,0,,,,
FESU,R,123,,93,2025,2025,2.528,1.089,1,1,0,,,,
FESU,R,123,,94,2025,2025,2.448,0.982,1,1,0,,,,
FESU,R,123,,95,2025,2025,2.432,1.03,1,1,0,,,,
FESU,R,123,,96,2025,2025,2.123,1.58,1,1,0,,,,
FESU,R,123,,97,2025,2025,2.058,1.594,1,1,0,,,,
FESU,R,123,,98,2025,2025,2.132,1.537,1,1,0,,,,
FESU,R,123,,99,2025,2025,2.064,1.397,1,1,0,,,,
FESU,R,123,,100,2025,2025,2.103,1.38,1,1,0,,,,
FESU,R,123,,101,2025,2025,2.018,1.42,1,1,0,,,,
FESU,R,123,,102,2025,2025,2.018,1.42,1,1,0,,,,
FESU,R,123,,103,2025,2025,2.018,1.42,1,1,0,,,,
FESU,R,123,,104,2025,2025,2.117,1.866,1,1,0,,,,
FESU,R,123,,105,2025,2025,1.742,1.677,1,1,0,,,,
FESU,R,123,,106,2025,2025,1.115,1.812,1,1,0,,,,
FESU,R,123,,107,2025,2025,2.089,1.923,1,1,0,,,,
FESU,R,123,,108,2025,2025,2.089,1.923,1,1,0,,,,
FESU,R,123,,109,2025,2025,2.016,0.568,1,1,0,,,,
FESU,R,123,,110,2025,2025,1.983,1.938,1,1,0,,,,
FESU,R,123,,111,2025,2025,2.309,0,1,1,0,,,,
FESU,R,123,,112,2025,2025,1.928,0.586,1,1,0,,,,
FESU,R,123,,113,2025,2025,1.367,1.13,1,1,0,,,,
FESU,R,123,,114,2025,2025,1.277,1.294,1,1,0,,,,
FESU,R,123,,115,2025,2025,2.805,1.939,1,1,0,,,,
FESU,R,123,,116,2025,2025,1.14,1.505,1,1,0,,,,
FESU,R,123,,117,2025,2025,0.989,1.439,1,1,0,,,,
FESU,R,123,,118,2025,2025,0.801,1.656,1,1,0,,,,
FESU,R,123,,119,2025,2025,0.81,1.627,1,1,0,,,,
FESU,R,123,,120,2025,2025,0.81,1.627,1,1,0,,,,
FESU,R,123,,121,2025,2025,0.81,1.627,1,1,0,,,,
